No	Country	Total Case	New Case	Total Deaths	New Deaths	Total Recovered	Active Case	Serious, Critical	Tot Cases/1M pop	Deaths/1M pop	Total Tests	Tests/1M pop	Population	Continent
1	USA	11,248,681	+22,463	251,330	+74	6,898,583	4,098,768	20,425	33,909	758	166,923,716	503,195	331,727,464	North America	
2	India	8,841,784	+26,882	130,043	+369	8,242,634	469,107	8,944	6,384	94	124,836,819	90,132	1,385,049,027	Asia	
3	Brazil	5,851,239	+2,280	165,696	+23	5,291,511	394,032	8,318	27,455	777	21,900,000	102,758	213,122,892	South America	
4	France	1,954,599	--	44,246	--	139,140	1,771,213	4,871	29,920	677	18,792,403	287,664	65,327,655	Europe	
5	Russia	1,925,825	+22,572	33,186	+352	1,439,985	452,654	2,300	13,194	227	68,577,003	469,841	145,957,963	Europe	
6	Spain	1,492,608	--	40,769	--	N/A	N/A	3,125	31,920	872	19,394,289	414,748	46,761,579	Europe	
7	UK	1,369,318	+24,962	51,934	+168	N/A	N/A	1,355	20,131	764	37,918,526	557,467	68,019,263	Europe	
8	Argentina	1,304,846	--	35,307	--	1,119,366	150,173	4,346	28,773	779	3,434,801	75,740	45,350,087	South America	
9	Colombia	1,191,004	--	33,829	--	1,097,576	59,599	2,376	23,314	662	5,708,597	111,748	51,084,356	South America	
10	Italy	1,178,529	+33,979	45,229	+546	420,810	712,490	3,422	19,503	748	18,878,386	312,409	60,428,372	Europe	
11	Mexico	1,003,253	+5,860	98,259	+635	745,361	159,633	2,941	7,751	759	2,604,659	20,123	129,436,043	North America	
12	Peru	934,899	--	35,177	--	861,017	38,705	991	28,209	1,061	4,784,978	144,379	33,141,844	South America	
13	Germany	794,881	+5,982	12,644	+25	502,300	279,937	3,299	9,476	151	25,010,416	298,154	83,884,266	Europe	
14	Iran	762,068	+12,543	41,493	+459	558,818	161,757	5,666	9,030	492	5,505,070	65,233	84,391,349	Asia	
15	South Africa	749,182	--	20,206	--	693,261	35,715	546	12,573	339	5,110,384	85,765	59,585,858	Africa	
16	Poland	712,972	+21,854	10,348	+303	294,783	407,841	2,114	18,846	274	5,563,521	147,062	37,831,020	Europe	
17	Ukraine	535,857	+10,681	9,603	+95	241,444	284,810	177	12,281	220	3,876,966	88,851	43,634,448	Europe	
18	Belgium	531,280	+6,268	14,303	+197	32,706	484,271	1,423	45,767	1,232	5,458,422	470,210	11,608,488	Europe	
19	Chile	531,273	+1,597	14,819	+42	506,700	9,754	721	27,703	773	4,822,677	251,478	19,177,297	South America	
20	Iraq	519,152	+2,237	11,670	+47	447,039	60,443	357	12,802	288	3,128,402	77,143	40,553,232	Asia	
21	Indonesia	467,113	+4,106	15,211	+63	391,991	59,911	--	1,701	55	5,055,488	18,410	274,598,140	Asia	
22	Czechia	459,271	+1,042	6,156	+98	322,383	130,732	1,110	42,857	574	2,759,814	257,531	10,716,431	Europe	
23	Netherlands	447,871	+5,413	8,486	+43	N/A	N/A	604	26,116	495	3,711,716	216,438	17,149,084	Europe	
24	Bangladesh	432,333	+1,837	6,194	+21	349,542	76,597	--	2,615	37	2,541,194	15,373	165,299,352	Asia	
25	Turkey	414,278	+3,223	11,507	+89	353,663	49,108	3,439	4,892	136	16,156,470	190,803	84,676,151	Asia	
26	Philippines	407,838	+1,530	7,832	+41	374,329	25,677	1,455	3,704	71	5,268,410	47,842	110,121,256	Asia	
27	Romania	360,281	+7,096	8,926	+113	243,832	107,523	1,169	18,775	465	3,691,062	192,351	19,189,152	Europe	
28	Pakistan	356,904	+2,443	7,141	+32	323,225	26,538	1,377	1,604	32	4,921,050	22,120	222,469,681	Asia	
29	Saudi Arabia	353,255	+305	5,657	+16	340,304	7,294	810	10,089	162	8,884,878	253,751	35,014,154	Asia	
30	Israel	323,503	+164	2,732	+11	312,824	7,947	298	35,173	297	5,051,016	549,167	9,197,590	Asia	
31	Canada	294,393	+2,462	10,935	+44	235,157	48,301	334	7,775	289	10,293,273	271,839	37,865,338	North America	
32	Morocco	288,211	--	4,697	--	234,904	48,610	1,053	7,774	127	3,623,519	97,740	37,072,860	Africa	
33	Switzerland	257,135	--	3,359	+8	141,000	112,776	483	29,630	387	2,351,453	270,960	8,678,220	Europe	
34	Portugal	217,301	+6,035	3,381	+76	125,066	88,854	415	21,334	332	3,853,501	378,332	10,185,505	Europe	
35	Nepal	209,776	+1,477	1,221	+6	173,430	35,125	--	7,152	42	1,609,079	54,861	29,329,855	Asia	
36	Austria	203,956	+5,665	1,829	+83	125,674	76,453	599	22,598	203	2,667,880	295,591	9,025,591	Europe	
37	Ecuador	179,627	--	12,997	--	154,956	11,674	324	10,124	733	593,959	33,477	17,742,065	South America	
38	Sweden	177,355	--	6,164	--	N/A	N/A	149	17,520	609	2,659,793	262,753	10,122,771	Europe	
39	UAE	150,345	+1,210	530	+2	143,252	6,563	--	15,133	53	14,979,407	1,507,783	9,934,721	Asia	
40	Panama	145,309	--	2,867	--	124,271	18,171	146	33,482	661	755,576	174,102	4,339,853	North America	
41	Jordan	143,678	+2,373	1,772	+68	10,067	131,839	447	14,030	173	2,184,026	213,267	10,240,791	Asia	
42	Bolivia	143,181	+112	8,841	+6	116,828	17,512	71	12,204	754	345,343	29,436	11,731,972	South America	
